Year,Name,Birthplace,Nationality,Sport,Labels,Medal
1950,Siegfried Voigt,NULL,NULL,Handball player,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanHandballPlayers|HandballPlayersAtThe1972SummerOlympics|HandballPlayersAtThe1980SummerOlympics|LivingPeople|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Player110439851|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|OlympicGoldMedalistsForEastGermany|OlympicHandballPlayersOfEastGermany|OlympicMedalistsInHandball|YagoLegalActor},Gold Medalist
1950,Harald Hein,{Germany|Tauberbischofsheim},NULL,German fencer,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanFencers|CausalAgent100007347|Combatant109939313|Contestant109613191|Fencer110085217|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|YagoLegalActorGeo|FencersAtThe1972SummerOlympics|FencersAtThe1976SummerOlympics|FencersAtThe1984SummerOlympics|PhysicalEntity100001930|Winner110782940|OlympicFencersOfWestGermany|OlympicGoldMedalistsForWestGermany|OlympicMedalistsInFencing|OlympicSilverMedalistsForWestGermany|PeopleFromTauberbischofsheim|YagoLegalActor},Gold Medalist
1950,Hasely Crawford,NULL,NULL,Trinidadian sprinter,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Runner110542888|Athlete109820263|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Sprinter110641413|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|Sprinters|OlympicAthletesOfTrinidadAndTobago|OlympicGoldMedalistsForTrinidadAndTobago|OlympicMedalistsInAthletics(trackAndField)|YagoLegalActor},Gold Medalist
1950,Knut Knudsen,Levanger,NULL,Norwegian racing cyclist,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|CausalAgent100007347|Contestant109613191|Cyclist109986189|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Rider110529965|Traveler109629752|Whole100003553|YagoLegalActorGeo|CyclistsAtThe1972SummerOlympics|Pedaler110411163|PhysicalEntity100001930|Winner110782940|NorwegianCyclists|OlympicCyclistsOfNorway|OlympicGoldMedalistsForNorway|OlympicMedalistsInCycling|YagoLegalActor},Gold Medalist
1950,Marek Karbarz,{Poland|Charzewice},Poland,Volleyball player,{agent|athlete|person|volleyball player|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|VolleyballPlayersAtThe1972SummerOlympics|VolleyballPlayersAtThe1976SummerOlympics|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Player110439851|VolleyballPlayer110759047|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|OlympicGoldMedalistsForPoland|OlympicMedalistsInVolleyball|OlympicVolleyballPlayersOfPoland|PolishVolleyballPlayers|YagoLegalActor},Gold Medalist
1950,Maricica Puică,NULL,NULL,Athletics (sport) competitor,{agent|athlete|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Runner110542888|Athlete109820263|CausalAgent100007347|Contestant109613191|LivingThing100004258|Marathoner110292969|Medalist110305062|Object100002684|Organism100004475|Person100007846|Traveler109629752|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|RomanianLong-distanceRunners|RomanianMiddleDistanceRunners|OlympicAthletesOfRomania|OlympicBronzeMedalistsForRomania|OlympicGoldMedalistsForRomania|OlympicMedalistsInAthletics(trackAndField)|PeopleFromIa%C5%9Fi|YagoLegalActor},Gold Medalist
1950,Mark Spitz,Modesto California,United States,American swimmer Olympic gold medalist,{agent|athlete|person|swimmer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|IndianaHoosiersSwimmers|JewishSwimmers|LivingPeople|MaccabiahGamesGoldMedalists|MaccabiahGamesSwimmersOfTheUnitedStates|MaleFreestyleSwimmers|AmericanSwimmers|Athlete109820263|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Swimmer110683349|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|SwimmersAtThe1965MaccabiahGames|SwimmersAtThe1968SummerOlympics|SwimmersAtThe1969MaccabiahGames|SwimmersAtThe1972SummerOlympics|SwimmingWorldWorldSwimmersOfTheYear|OlympicBronzeMedalistsForTheUnitedStates|OlympicGoldMedalistsForTheUnitedStates|OlympicMedalistsInSwimming|OlympicSilverMedalistsForTheUnitedStates|OlympicSwimmersOfTheUnitedStates|PeopleFromModestoCalifornia|PeopleFromSacramentoCalifornia|YagoLegalActor},Gold Medalist
1950,Angelika Noack,NULL,NULL,Rower,{agent|athlete|person|rower|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanRowers|LivingPeople|Boatman109861946|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Oarsman110368920|Object100002684|Organism100004475|Person100007846|Whole100003553|Worker109632518|YagoLegalActorGeo|FemaleRowers|PhysicalEntity100001930|Winner110782940|RowersAtThe1976SummerOlympics|RowersAtThe1980SummerOlympics|OlympicGoldMedalistsForEastGermany|OlympicMedalistsInRowing|OlympicRowersOfEastGermany|OlympicSilverMedalistsForEastGermany|PeopleFromAngerm%C3%BCnde|YagoLegalActor},Gold Medalist
1950,Annegret Richter,NULL,NULL,German athlete,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanSprinters|LivingPeople|Runner110542888|WestGermanAthletes|Athlete109820263|CausalAgent100007347|Contestant109613191|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Sprinter110641413|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Winner110782940|OlympicAthletesOfWestGermany|OlympicGoldMedalistsForWestGermany|OlympicMedalistsInAthletics(trackAndField)|OlympicSilverMedalistsForWestGermany|PeopleFromDortmund|YagoLegalActor},Gold Medalist
1950,Annelie Ehrhardt,NULL,NULL,German hurdler,{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanHurdlers|LivingPeople|Athlete109820263|CausalAgent100007347|Contestant109613191|Hurdler110193864|LivingThing100004258|Medalist110305062|Object100002684|Organism100004475|Person100007846|Whole100003553|YagoLegalActorGeo|EastGermanAthletes|FemaleHurdlers|PhysicalEntity100001930|Winner110782940|OlympicAthletesOfEastGermany|OlympicGoldMedalistsForEastGermany|OlympicMedalistsInAthletics(trackAndField)|YagoLegalActor},Gold Medalist
