name,nationality,sport
Francesco Dall'Olio,Italy,Volleyball player
Matija Ljubek,NULL,Canoe racer
Mats Waltin,NULL,Swedish ice hockey player
Nedelcho Kolev,NULL,Weightlifter
Nikolay Bazhukov,NULL,Cross-country skier
Nikolay Kolesnikov,NULL,Athletics (sport) competitor
Nikolay Kuznetsov,NULL,Rower
Herminio Menéndez,NULL,Canoe racer
Charles Tickner,NULL,Figure skater
Adam Sandurski,NULL,Polish sport wrestler
Adam Tomasiak,{Gmina Gietrzwałd|Biesal},Polish rower
Carie Graves,NULL,Olympic medalist in rowing
Carol Brown,Oak Park Illinois,Olympic rower
Wilfried Hartung,Berlin,Swimmer
Cornel Marin,Romania,Fencer
John Murphy,Chicago,American swimmer Olympic gold medalist
Karl-Heinz Krüger,{Brandenburg|Templin},Boxer
Karl Schrott,NULL,Luger
Kate Schmidt,California,Athletics (sport) competitor
Ioan Pop,Romania,Fencer
Ivan Manev,NULL,Canoe racer
Jørgen Bojsen-Møller,NULL,Sailor
Jürgen Lehnert,NULL,Canoe racer
Tim Willoughby,Adelaide,Australian rower yachtsman and investment banker
Lucian Vasilache,NULL,Handball player
Lyudmila Krokhina,NULL,Rower
Grzegorz Nowak,Luboń,Polish rower
Hans-Henrik Ørsted,Denmark,Track cyclist
Yevgeny Belyayev,NULL,Cross-country skier
Yuji Takada,NULL,Olympic wrestler
Zdeněk Pecka,NULL,Rower
Franz Reindl,{Garmisch-Partenkirchen|West Germany},Ice hockey player
Urs Salzmann,NULL,Bobsledder
Sergėjus Jovaiša,Lithuania,Basketball player
Sergei Klevtsov,Soviet Union,Field hockey player
Siegfried Fricke,NULL,Rower
Silvia Chivás,NULL,Athletics (sport) competitor
Silvio Giobellina,NULL,Bobsledder
Hans van Zeeland,NULL,Dutch water polo player
Hartwig Gauder,NULL,Athletics (sport) competitor
Herbert Plank,NULL,Alpine skier
Lazar Khristov,NULL,Canoe racer
Maria Teresa Ramírez,Mexico,Swimmer
Marion Greig,Hudson New York,Olympic medalist in rowing
Marit Myrmæl,NULL,Cross-country skier
Mark Berger,Ukraine,Judoka
Martha Laurijsen,NULL,Rower
Ecaterina Oancia,NULL,Rower
Edit Kovács,Hungary,Hungarian fencer
Joslyn Hoyte-Smith,NULL,British athlete
Jutta Kirst,NULL,German high jumper
Kai Arne Engelstad,NULL,Speed skater
Aziz Salihu,NULL,Boxer
Anne Warner,Cambridge Massachusetts,Olympic medalist in rowing
Annemiek Derckx,NULL,Canoe racer
Anton Winkler,Bischofswiesen,Luger
Aristidis Rapanakis,NULL,Sailor
Oleg Romantsev,Soviet Union,Russian footballer and manager
Ossie Stewart,United Kingdom,Sailor
Radomir Kovačević,NULL,Judoka
Petra Uhlig,NULL,Handball player
Policarp Malîhin,NULL,Canoe racer
Aleksandr Abushakhmetov,Kyrgyzstan,Fencer
Aleksandr Aksinin,NULL,Athletics (sport) competitor
Alfio Peraboni,Italy,Sailor
Rik Toonen,NULL,Water polo player
Robert Van de Walle,Belgium,judoka
Tatyana Skachko,NULL,Soviet long jumper
Gheorghe Megelea,Romania,Romanian javelin thrower
Gijze Stroboer,Netherlands,Water polo player
Mohamed Kedir,NULL,Athletics (sport) competitor
Beverley Whitfield,NULL,Swimmer
Birgitte Hanel,NULL,Rower
Bozhidar Milenkov,NULL,Canoe racer
Valery Gazzaev,Soviet Union,Soviet footballer and manager
Vasile Dîba,NULL,Canoe racer
Vladimir Smirnov,{Rubizhne|Ukrainian Soviet Socialist Republic},Soviet fencer
Wanda Jewell,NULL,Former American Olympic sports shooter.
João Carlos de Oliveira,Brazil,Athletics (sport) competitor
Anatoly Myshkin,NULL,Basketball player
Andrea Gyarmati,NULL,Swimmer
Andrei Minenkov,Moscow,Russian ice dancer
Leszek Kosedowski,NULL,Polish boxer
Farit Zigangirov,Soviet Union,Russian field hockey player
Felicia Afrăsiloaie,Romania,Olympic rower of Romania
Frédéric Pietruszka,France,Fencer
Frank-Peter Bischof,Forst (Lausitz),Canoe racer
Marvin Johnson,NULL,Boxer
Nico Landeweerd,NULL,Water polo player
Novella Calligaris,Padua,Swimmer
Herman Frazier,NULL,Athletics (sport) competitor and athletic director
Ian Brown,NULL,Sailor
Ian Taylor,NULL,Field hockey player
Akhtar Rasool,NULL,Field hockey player
Carmen Valdés,NULL,Cuban sprinter
Carola Zirzow,NULL,German canoeist
Cezar Drăgăniță,Romania,Handball player
Costică Dafinoiu,NULL,Boxer
Dan Gîrleanu,Transylvania,Volleyball player
Danièle Debernard,NULL,Alpine skier
Karen Moras,NULL,Swimmer
Kazimierz Szczerba,NULL,Polish boxer
Irina Moiseeva,Moscow,Russian ice dancer
Enith Brigitha,NULL,Swimmer
Tim Steens,NULL,Field hockey player
Luis Martínez,NULL,Boxer
Malcolm Carmichael,United Kingdom,Rower
Yuri Barinov,Soviet Union,Racing cyclist
Zebiniso Rustamova,Tajikistan,Archer
Günther Enescu,Romania,Volleyball player
Georg Fluckinger,NULL,Luger
Paul Barber,NULL,Field hockey player
Petar Petrov,{Veliko Tarnovo|Svishtov},Bulgarian sprinter
Peter Dignan,NULL,Olympic Rower
Detlef Ultsch,NULL,Judoka
Dominique Rocheteau,France,Footballer
Donna Gurr,Vancouver,Swimmer
Rositsa Dimitrova,NULL,Volleyball player
Rumyana Kaisheva,NULL,Volleyball player
Mihovil Nakić,NULL,Croatian basketball player
Mikhail Nichepurenko,Soviet Union,Field hockey player
Udo Beyer,NULL,Athletics (sport) competitor
Udo Kiessling,{East Germany|Crimmitschau},Ice hockey player
Václav Vochoska,NULL,Rower
