name,nationality,sport
Deng Yaping,China,Table tennis player
Diederik van Weel,NULL,Field hockey player
Dmitri Trush,NULL,Gymnast
Dmitri Vasilenko,NULL,Gymnast
Dosu Joseph,Nigeria,Footballer
Rubén Wolkowyski,Argentina,Argentine basketball player
Rumyana Neykova,NULL,Rower
Ryan Berube,Tequesta Florida,American swimmer Olympic gold medalist
Ryan Franklin,Fort Smith Arkansas,Baseball player
Sébastien Lareau,Montreal,Canadian tennis player
Michaela Dorfmeister,Vienna,Austrian Alpine skier
Michelle Venturella,United States,Softball player
Mike Kinkade,Livonia Michigan,Baseball player
Mike van de Goor,NULL,Volleyball player
Milan Hnilička,Czechoslovakia,Czech ice hockey player
Mirko Vuillermin,NULL,Short track speed skater
Tomas Holmström,Sweden,Ice hockey player
Vénuste Niyongabo,Burundi,Burundian athlete
Silvia Manrique,NULL,Field hockey player
Simone Hankin,NULL,Water polo player
Somluck Kamsing,{Khon Kaen Province|Mueang Khon Kaen District},Boxer
Stanislav Pozdnyakov,Russia,Russian fencer
Heike Lätzsch,Germany,Field hockey player
Konstantinos Kenteris,Greece,Athletics (sport) competitor
Kristin Armstrong,United States,American racing cyclist
LaMont Smith,NULL,Athletics (sport) competitor
Larisa Kurkina,NULL,Cross-country skier
Mark Hickman,NULL,Field hockey player
Mark Huizinga,Netherlands,Judoka
Mark Turnbull,NULL,Sailor
Mark Zabel,NULL,German canoeist
Marlenis Costa,NULL,Volleyball player
Marten Eikelboom,NULL,Field hockey player
Jamie Staff,England,Racing cyclist
Jan Ullrich,{East Germany|Rostock},German professional road bicycle racer
Jason Kidd,{San Francisco|California Golden Bears men's basketball},American basketball player and coach
Jay-Jay Okocha,Nigeria,Footballer
Driulis González,NULL,Cuban judoka
Duncan Free,NULL,Rower
Egil Gjelland,NULL,Norwegian biathlete
Artur Ayvazyan,NULL,Ukrainian sport shooter
Anja Hansen,NULL,Handball player
Anna Carin Zidek,Sweden,Swedish biathlete
Anna Dogonadze,{Georgian Soviet Socialist Republic|Mtskheta},Gymnast
Arnaud Boiteau,NULL,Equestrian
Oksana Yermakova,Soviet Union,Russian fencer
Olaf Winter,NULL,German canoeist
Oliver Fix,Augsburg,Canoe racer
Olivier Girault,{Guadeloupe|Pointe-à-Pitre},Handball player
Rebecca Lobo,Hartford Connecticut,American professional women's basketball player
Rey Isaac,NULL,Baseball player
Peter Windt,NULL,Dutch field hockey player
Aleš Valenta,NULL,Freestyle skier
Alexander Parygin,Almaty,Kazakhstani modern pentathlete
Alexei Kovalev,Soviet Union,Ice hockey player
Alexei Urmanov,Saint Petersburg,Russian figure skater
Alexei Voropaev,NULL,Gymnast
Richard Schuil,NULL,Volleyball player
Robert Scheidt,{São Paulo|São Paulo (state)},Sailor
Robert Sycz,NULL,Rower
Roberto Ayala,Argentina,Argentine footballer
Stuart O'Grady,Australia,Road bicycle racer
Susie O'Neill,Australia,Australian swimmer
Suzannah Bianco,NULL,Synchronized swimmer
Suzanne Balogh,NULL,Sport shooter
Svetlana Boginskaya,Belarus,Belarusian gymnast
Darren Campbell,England,British sprinter
David Moravec,Czechoslovakia,Ice hockey player
Gianni Romme,Netherlands,Speed skater
Gillian Boxx,Fontana California,American softball player
Nagore Gabellanes,NULL,Field hockey player
Natalia Lashchenova,NULL,Gymnast
Brad Bridgewater,Charleston West Virginia,American swimmer Olympic gold medalist
Bridgette Gusterson,NULL,Water polo player
Vasa Mijić,NULL,Volleyball player
Victor Ikpeba,Nigeria,Nigerian footballer
Vonetta Flowers,NULL,Bobsledder
Wang Junxia,China,Chinese long distance runner
Jennifer Brundage,Orange California,Softball player
Jenny Thompson,{Danvers Massachusetts|Massachusetts},American swimmer Olympic gold medalist
Jeroen Delmee,Netherlands,Dutch field hockey player
Jeroen Dubbeldam,NULL,Equestrian
Alyson Annan,NULL,Field hockey player
Amy Van Dyken,Denver,American swimmer Olympic gold medalist former world record-holder
Ana Fernández,NULL,Volleyball player
André Lange,{Thuringia|Ilmenau},Bobsledder
Li Xiaoshuang,China,Gymnast
Fatuma Roba,NULL,Athletics (sport) competitor
Frédérik Deburghgraeve,{Roeselare|West Flanders},swimmer
Franck Dumoulin,NULL,Sport shooter
Martina Miceli,NULL,Water polo player
Maurizio Carnino,NULL,Short-track speed skater
Melania Grego,NULL,Water polo player
Melissa Mills,NULL,Water polo player
Niclas Hävelid,Sweden,Ice hockey player
Nikša Kaleb,NULL,Handball player
Nikola Grbić,{Socialist Federal Republic of Yugoslavia|Socialist Republic of Serbia|Klek (Zrenjanin)},Volleyball player
Nikolai Khabibulin,Soviet Union,Russian ice hockey goaltender
Hugues Obry,France,Fencer
Igor Kravtsov,NULL,Rower
Igor Lavrov,NULL,Handball player
Inge de Bruijn,Barendrecht,Swimmer
Christopher Reitz,NULL,Field hockey player
Sandra Pires,Brazil,Volleyball player
Scott Niedermayer,Canada,Canadian ice hockey player
Abiodun Obafemi,Nigeria,Association footballer
Camilla Andersen,Denmark,Handball player
Carole Montillet,NULL,Alpine skier
Cassie Campbell,{Ontario|Richmond Hill Ontario},ice hockey player
Cathy Freeman,Mackay Queensland,Australian sprinter
Daniel Ballart,NULL,Water polo player
Kateřina Neumannová,Czechoslovakia,Czech cross-country skier and racing cyclist
Katrin Apel,NULL,German biathlete
Katrin Meißner,{East Berlin|East Germany|Ost_Berlin},Swimmer
Kenzo Nakamura,NULL,Judoka
Kieren Perkins,Australia,Swimmer
István Majoros,NULL,Olympic wrestler
Iván Moro,NULL,Water polo player
Xiong Ni,NULL,Chinese sport diver
Yelena Antonova,NULL,Synchronized swimmer
Yevgeny Kafelnikov,Sochi,Russian tennis player
Yuriy Bilonoh,Ukraine,Ukrainian shot putter
Zhan Xugang,NULL,Chinese weightlifter
Zhang Guozheng,NULL,Chinese weightlifter
Fredrik Modin,Sweden,Ice hockey player
Galabin Boevski,NULL,Weightlifter
Garba Lawal,Nigeria,Nigerian footballers
Gary Hall Jr.,Cincinnati,American swimmer Olympic gold medalist former world record-holder
Paul Kariya,Canada,Ice hockey player
Paul Manning,England,English racing cyclist
Penelope Heyns,{Gauteng|Springs Gauteng},Swimmer
Denis Pankratov,Volgograd,Swimmer
Dmitri Sautin,Voronezh,Diver
Doug Mientkiewicz,NULL,American professional baseball player
Roger Machado,NULL,Baseball player
Roman Šebrle,NULL,Athletics (sport) competitor
Roman Hamrlík,Czechoslovakia,Ice hockey player
Séverine Vandenhende,NULL,Judoka
Michael Peca,Canada,Canadian ice hockey centre
Tomasz Kucharski,NULL,Rower
Tor Arne Hetland,NULL,Cross-country skier
Tricia Dunn-Luoma,United States,Ice hockey player
Tycho van Meer,NULL,Field hockey player
Valentina Vezzali,Italy,Fencer
Serge Mimpo,Cameroon,footballer
Sergey Klyugin,Russia,Russian high jumper
Sergey Pogorelov,NULL,Handball player
Sergey Sharikov,Russia,Fencer
Shannon MacMillan,United States women's national soccer team,Soccer player
Sibelis Veranes,NULL,Judoka
Henrietta Ónodi,Békéscsaba,Artistic gymnast
Koji Murofushi,Japan,Athletics (sport) competitor
Krisztina Egerszegi,Budapest,Swimmer
Lars Frölander,Sweden,Swimmer
Lauren Burns,Australia,Martial artist
Leah O'Brien,NULL,Softball player
Manuela Henkel,NULL,Cross-country skier
Manuela Lutze,NULL,Rower
Marco Jakobs,{North Rhine-Westphalia|Unna},Bobsledder
Marcus Ehning,{North Rhine-Westphalia|Südlohn},Equestrian
Marianne Timmer,Netherlands,Dutch speed skater
Mariya Kiselyova,NULL,Synchronized swimmer
Janie Wagstaff,Kansas City Missouri,American swimmer Olympic gold medalist
Janne Lahtela,NULL,Freestyle skier
Jaroslav Špaček,Czechoslovakia,Ice hockey player
Drew Ginn,NULL,Rower
Elbrus Tedeyev,NULL,Olympic wrestler
Ashley Tappin,Marietta Georgia,American swimmer Olympic gold medalist
Attila Czene,{Szeged|Csongrád},Swimmer
Aurica Bărăscu,NULL,Rower
Beckie Scott,{Alberta|Vegreville},Cross-country skier
Anne Tønnessen,NULL,Association footballer
Annette Salmeen,Ann Arbor Michigan,American swimmer Olympic gold medalist Rhodes Scholar biochemist
Anthony Sanders,Tucson Arizona,American baseball player
Antonio McDyess,Quitman Mississippi,Basketball player
Ariel Pestano,NULL,Baseball player
Armen Nazaryan,Armenia,Olympic wrestler
Armin Zöggeler,Italy,Luger
Arsi Harju,Finland,Finnish shot putter
Ole Einar Bjørndalen,Norway,Norwegian biathlete and Olympian
Oleg Khodkov,NULL,Handball player
Oleg Saitov,Soviet Union,Boxer
Oleksandr Petriv,NULL,Sport shooter
Olga Novokshchenova,NULL,Synchronized swimmer
Paolo Bettini,Italy,Road bicycle racer
Pietro Piller Cottrer,NULL,Cross-country skier
Alana Blahoski,United States,American ice hockey player
Sun Fuming,NULL,Judoka
Sunday Oliseh,Nigeria,Nigerian football player and manager
Sven Hannawald,Germany,German footballer
Tadahiro Nomura,Japan,Judoka
Tao Luna,NULL,Sport shooter
Taribo West,Nigeria,Footballer
Daniel Igali,NULL,Olympic wrestler
Daniela Anschütz-Thoms,Germany,German speed skater
David Pelletier,NULL,Figure skater
DeLisha Milton-Jones,Riceboro Georgia,All-American college basketball player professional basketball player international basketball player Olympic gold medalist
Nadine Ernsting-Krienke,NULL,Field hockey player
Nalbert Bitencourt,Brazil,Olympic volleyball player of Brazil
Nancy Johnson,NULL,Sport shooter
Naomi Castle,NULL,Water polo player
Bente Kvitland,NULL,Association footballer
Bente Nordby,{Gjøvik|Norway women's national football team},Association football player
Brad Schumacher,Bowie Maryland,American swimmer water polo player Olympic gold medalist
Brian Lewis,Sacramento California,Athletics (sport) competitor
Bronwyn Mayer,NULL,Water polo player
Cédric Burdet,NULL,Handball player
Vassiliy Jirov,Kazakhstan,Boxer
Vera Ilyina,NULL,Diver
Jean-Noël Ferrari,France,Fencer
Jefferson Pérez,Ecuador,Ecuadorian race walking athlete
Jia Zhanbo,NULL,Sport shooter
Alisa Camplin,NULL,Freestyle skier
Alvin Harrison,NULL,Athletics (sport) competitor sprinter 400 metres runner
Anderson Rodrigues,NULL,Volleyball player
Libor Procházka,Czechoslovakia,Ice hockey player
Lisa Jacob,United States,American swimmer Olympic gold medalist
Fiona MacDonald,NULL,Scottish curler
Florence Baverel-Robert,{Doubs|Pontarlier},French biathlete
Florian Rousseau,France,Cyclist and coach
Florin Popescu,NULL,Canoe racer
Martin Doktor,NULL,Canoe racer
Martina Zellner,NULL,German biathlete
Maurice Greene,United States,America athlete Olympic medalist
Nikolai Spinev,NULL,Rower
Hicham El Guerrouj,Berkane,Moroccan former middle distance runner
Hiroyasu Shimizu,NULL,Speed skater
Igor Vušurović,NULL,Volleyball player
Chris Pronger,Canada,Canadian ice hockey defenceman
Christian Hoffmann,NULL,Cross-country skier
Sagid Murtazaliev,NULL,Olympic wrestler
Savatheda Fynes,NULL,Athletics (sport) competitor
Adam Korol,Gdańsk,Polish rower
Camilla Thomsen,NULL,Handball player
Carlos Tabares,NULL,Baseball player
Wendy Schaeffer,NULL,Equestrian
Dani Tyler,United States,Softball player
Josep Maria Abarca,NULL,Water polo player
Kari Traa,NULL,Freestyle skier
Karina Aznavourian,Azerbaijan,Fencer
Katie Smith,{Ohio|Logan Ohio},Basketball player
Kenneth Braaten,NULL,Norwegian Nordic combined skier
Kenny Jönsson,Sweden,Ice hockey player
Khadzhimurad Magomedov,NULL,Olympic wrestler
Kily González,Argentina,Argentine footballer
Kingsley Obiekwu,Nigeria,Nigerian footballer
Irina Karavayeva,Soviet Union,Gymnast
Eriel Sánchez,NULL,Baseball player
Thobias Fredriksson,Dals Rostock,Cross-country skier
Thomas Bimis,NULL,Diver
Tim Montgomery,United States,Athletics (sport) competitor
Tina Thompson,{California|Los Angeles},Basketball player
Tom Dolan,Arlington County Virginia,American swimmer Olympic gold medalist former world record-holder
Gu Jun,{Wuxi|Jiangsu},Badminton player
Gustavo Endres,Brazil,Volleyball player
Guus Vogels,NULL,Field hockey player
Ha Tae-kwon,NULL,male badminton player from South Korea
Xian Dongmei,NULL,Chinese judoka
Yan Sen,China,Chinese table tennis player
Yumileidi Cumbá,Guantánamo,Athletics (sport) competitor
Zhang Ning,China,Chinese badminton player
Zhang Yuehong,China,Chinese volleyball player
Fred Scarlett,Ashford Kent,Rower
Gabriela Szabo,NULL,Athletics (sport) competitor
Gal Fridman,Israel,Israeli windsurfer
Ge Fei,{Jiangsu|Nantong},Badminton player
Dominic Seiterle,Canada,Rower
Ryoko Tani,Japan,Judoka
Sérgio Santos,Brazil,Brazilian volleyball player
Mette Vestergaard,NULL,Handball player
Michael Brennan,NULL,Australian field hockey player
Mirka Francia,{Villa Clara Province|Cuba women's national volleyball team},Volleyball player
Toni Nieminen,NULL,Ski jumper
Tonje Kjærgaard,NULL,Handball player
Tonje Larsen,Norway,Handball player
Tony Gunawan,Indonesia,Indonesian born American badminton player of Chinese descent
Ulrika Bergman,Östersund,Swedish Olympic curler
Shane Heams,United States,Baseball player
Silje Jørgensen,Kristiansund,Association footballer
Simon Whitfield,Kingston Ontario,Triathlete
Slobodan Boškan,NULL,Volleyball player
Somjit Jongjohor,{Mueang Nakhon Ratchasima District|Nakhon Ratchasima Province},Boxer
Steve Trapmore,United Kingdom,Rower
Hans Petter Buraas,NULL,Alpine skier
Heather Pease,NULL,Synchronized swimmer
Kirsten van der Kolk,NULL,Rower
Kong Linghui,China,Table tennis player
Kristine Quance,Northridge Los Angeles,American swimmer Olympic gold medalist
Kristine Roug,NULL,Sailor
Laura Berg,NULL,Softball player
Le Jingyi,China,Swimmer
Manuela Mucke,NULL,Canoe racer
Marc Gagnon,NULL,Short track speed skater
Marianne Pettersen,Norway,Association footballer
Marina Anissina,Moscow,Ice dancer
Marius Urzică,NULL,Gymnast
Jasey-Jay Anderson,{Quebec|Val-Morin Quebec},Snowboarder
Jason Gardener,Bath Somerset,British Olympic sprinter
Jason Lezak,Irvine California,American international swimmer Olympic gold medalist
Ed Coode,{Cornwall|Indian Queens},Rower
Eduard Koksharov,NULL,Handball player
Ekaterina Dafovska,NULL,Bulgarian biathlete
Justin Huish,United States,Archer
Kanstantsin Lukashyk,NULL,Sport shooter
Kara Wolters,United States,American basketball player
Barnabás Steinmetz,NULL,Water polo player
Becky Kellar-Duke,Canada,Ice hockey player
Anja Nielsen,NULL,Handball player
Oksana Chusovitina,Soviet Union,Gymnast
Oksana Kazakova,Saint Petersburg,Figure skater
Olga Medvedtseva,Soviet Union,Russian biathlete
P. J. Axelsson,Sweden,Ice hockey player
Ray Allen,{Merced California|Castle Air Force Base},American basketball player
Regla Torres,{Havana|Santa Clara Cuba},Volleyball player
Ricardo Garcia,NULL,Volleyball player
Ricardo Santos,Salvador Bahia,Volleyball player
Petria Thomas,{New South Wales|Lismore New South Wales},Swimmer
Qiu Jian,NULL,Sport shooter
Richard Lambourne,United States,American volleyball player
Rikke Petersen-Schmidt,NULL,Handball player
Rob Waddell,NULL,Rower
Robert Bartko,{East Germany|Potsdam},German racing cyclist
Tamás Molnár,NULL,Water polo player
Tamás Varga,NULL,Water polo player
Tammy Cleland,NULL,Synchronized swimmer
Taryn Woods,NULL,Water polo player
Tatiana Lysenko,Ukraine,Gymnast
Tatiana Navka,Soviet Union,Figure skater
Tayna Lawrence,NULL,Athletics (sport) competitor
Daniel Kowalski,Singapore,Swimmer
Daniela Ceccarelli,NULL,Alpine skier
Danyon Loader,Timaru,Swimmer
Daouda Karaboué,Abidjan,Handball player
David Kostelecký,NULL,Sport shooter
Giorgi Asanidze,NULL,Weightlifter
Monica Knudsen,NULL,Association footballer
Natalia Baranova-Masalkina,{Tomsk Oblast|Krivosheinsky District},Cross-country skier
Natalie Cook,{Townsville|Queensland},Volleyball player
Bill Kirby,NULL,Swimmer
Botond Storcz,NULL,Canoe racer
Bram Lomans,NULL,Field hockey player
Brandon Slay,United States,Olympic wrestler
Buvaisar Saitiev,Russia,Olympic wrestler
Viorica Susanu,NULL,Rower
Jeremy Linn,Harrisburg Pennsylvania,American swimmer Olympic gold medalist
Alfredo Rota,Italy,Fencer
André Heller,NULL,Volleyball player
Lenny Krayzelburg,Soviet Union,American swimmer Olympic gold medalist former world record-holder
Liliana Gafencu,NULL,Rower
Lotte Kiærskou,Denmark,Handball player
Fabricio Oberto,Córdoba Province Argentina,Professional basketball player
Frank Ostholt,NULL,German equestrian
Mateusz Kusznierewicz,NULL,Polish yacht racer
McLain Ward,NULL,Olympic equestrian and Grand Prix Rider
Hilde Gerg,Lenggries,Alpine skier
Christie Rampone,United States,American soccer player
Christine Bøe Jensen,Hammerfest,Association footballer
Sachiko Ito,NULL,Olympic softball player
Salvatore Sanzo,Italy,Fencer
Sandra Kiriasis,{Saxony|Dresden},Bobsledder
Candra Wijaya,Cirebon,Badminton player
Carles Sans,NULL,Water polo player
Carlton Chambers,NULL,Olympic track and field athlete
Casey FitzRandolph,Verona Wisconsin,Speed skater
Damien Touya,France,Fencer
Dan Beery,NULL,American rower
Jonny Moseley,NULL,Freestyle skier
Katie King-Crowley,NULL,American ice hockey player
Katrin Rutschow-Stomporowski,Waren (Müritz),German rower
Kazuyoshi Funaki,Yoichi Hokkaido,Japanese ski jumper
Kim Dong-moon,{South Jeolla Province|Gokseong County},male badminton player from South Korea
Kim Jo-Sun,NULL,Archer
Isabelle Blanc,NULL,Snowboarder
István Gergely,NULL,Water polo player
Ivano Brugnetti,Italy,Athletics (sport) competitor
Emmanuel Babayaro,Nigeria,Footballer
Teun de Nooijer,NULL,Field hockey player
Thierry Omeyer,France,Handball player
Thomas Schmidt,Bad Kreuznach,German slalom canoer and Olympic champion
Lu Li,NULL,Chinese Gymnast
Maddalena Musumeci,NULL,Water polo player
Manja Kowalski,NULL,Rower
Guillaume Gille,NULL,Handball player
Hadi Saei,NULL,Taekwondo practitioner
Hamza Yerlikaya,Turkey,turkish sport wrestler and politician
Wilson Oruma,Nigeria,Footballer
Wladimir Klitschko,Soviet Union,Ukrainian boxer
Xabier Fernández,Ibarra (Gipuzkoa),Sailor
Yang Yang,China,Short track speed skater
Yevgeniya Medvedeva,NULL,Cross-country skier
Yuliya Chepalova,NULL,Cross-country skier
Zoila Barros,Cuba,Female cuban volleyball player
Franziska Gude,NULL,Field hockey player
Gabriel Fernández,Argentina,Basketball player
Gail Miller,NULL,Water polo player
Gaydarbek Gaydarbekov,Soviet Union,Boxer
Petar Metličić,NULL,Croatian handball player
Dimosthenis Tampakos,Thessaloniki,Gymnast
Dominique Dawes,Silver Spring Maryland,American gymnast
Ryan Smyth,Canada,Ice hockey player
Sébastien Vieilledent,NULL,Rower
Michael Greis,Germany,German biathlete
Miguel Martinez,France,French racing cyclist
Mikael Samuelsson,Sweden,Ice hockey player
Milan Hejduk,Czechoslovakia,Ice hockey player
Tonique Williams-Darling,NULL,Athletics (sport) competitor
Seth Wescott,Durham North Carolina,Snowboarder
Shareef Abdur-Rahim,Marietta Georgia,American basketball player
Simon Dennis,NULL,Rower
Staci Wilson,United States,American soccer player
Stefan Holm,{Värmland County|Forshaga},Athletics (sport) competitor
Stefano Donagrandi,NULL,Speed skater
Stephen Mowlam,NULL,Field hockey player
Steve Williams,NULL,British rower
Kristian Hammer,Narvik,Norwegian Nordic combined skier
Kristine Andersen,NULL,Handball player
Kyle Hamilton,NULL,Rower
Marion Rodewald,NULL,Field hockey player
Marlon Devonish,England,English sprint athlete
Jake Wetzel,NULL,Rower
Jang Yong-Ho,NULL,Archer
Ed Jovanovski,Canada,Canadian ice hockey defenceman
Eirik Verås Larsen,NULL,Canoe racer
Julia Zwehl,NULL,German hockey player
Attila Vári,NULL,Water polo player
Anier García,Cuba,Cuban hurdler
Anita Nall,Harrisburg Pennsylvania,American swimmer Olympic gold medalist former world record-holder
Anna Olsson,Sweden,Cross-country skier
Antón Paz Blanco,NULL,Sailor
Antoine Dénériaz,Bonneville Haute-Savoie,French Alpine skier
Anton Sikharulidze,{Russian Soviet Federative Socialist Republic|Saint Petersburg},Russian pair skater
Olaf Tufte,NULL,Rower
Osmani Urrutia,NULL,Baseball player
Péter Biros,NULL,Water polo player
Rachel Komisarz,United States,American swimmer Olympic gold medalist
Rajmund Fodor,NULL,Water polo player
René Hoppe,{Saxony|Oelsnitz},Bobsledder
Revaz Mindorashvili,NULL,Olympic wrestler
Albina Akhatova,NULL,Biathlete
Alessio Sartori,NULL,Italian 2000 Olympics gold quad sculls 2004 double sculls bronze
Alexei Nemov,{Mordovia|Tengushevsky District|Barashevo},Gymnast
Rikke Hørlykke,NULL,Handball player
Riley Salmon,{Texas|Amarillo Texas},Volleyball player
Sun Shuwei,NULL,Diver
Szymon Ziółkowski,Poland,Polish hammer thrower
Tae Satoya,NULL,Freestyle skier
Tamás Kásás,NULL,Water polo player
Tang Lin,NULL,Judoka
Tanja Frieden,NULL,Snowboarder
Tatiana Gutsu,Odessa,Gymnast
Tatyana Lebedeva,Sterlitamak,Russian triple jumper and long jumper
Evelyne Leu,NULL,Freestyle skier
Daniel Tjärnqvist,Sweden,Ice hockey player
Debbie Ferguson-McKenzie,NULL,Athletics (sport) competitor
Georgeta Damian,NULL,Rower
Giuseppe Maddaloni,Naples,Judoka
Mobi Oparaku,Nigeria,Footballer
Monique Hennagan,NULL,Athletics (sport) competitor
Moon Dae-Sung,NULL,South Korean taekwondo athlete
Bob de Jong,Netherlands,Dutch speed skater
Bradley McGee,Australia,Racing cyclist
Brent Livermore,NULL,Field hockey player
Brian Price,Canada,Canadian rower
Bryan Volpenhein,United States,Rower
Bulcsú Székely,NULL,Water polo player
Valeska Menezes,Brazil,Volleyball player
Venio Losert,Bosnia and Herzegovina,Handball player
Viola Bauer,NULL,Cross-country skier
Wang Liping,NULL,Chinese racewalker
Jennifer Capriati,New York City,Tennis player
Jennifer McFalls,United States,Softball player
Joanna Hayes,Williamsport Pennsylvania,American sprint hurdler
Jochem Uytdehaage,Netherlands,Speed skater
Andreas Widhölzl,Austria,Ski jumper
Andrew Simpson,{Surrey|Chertsey},Sailor
Li Ju,China,Table tennis player
Lindsay Davenport,Palos Verdes,American tennis player
Liu Guoliang,China,Table tennis player
Felix Gottwald,NULL,Austrian Nordic combined skier
Françoise Mbango Etone,Yaoundé,Athletics (sport) competitor
Mattias Öhlund,Sweden,Professional ice hockey player
Maurren Maggi,NULL,Athletics (sport) competitor
Neil Walker,Verona Wisconsin,American swimmer Olympic gold medalist former world record-holder
Nikki Hudson,NULL,Field hockey player
Nikolaos Siranidis,NULL,Diver
Noémi Tóth,NULL,Water polo player
Noriko Anno,Japan,Judoka
Nwankwo Kanu,{Owerri|Nigeria national football team},Footballer
Iain Percy,NULL,Sailor
Cheryl Pounder,Canada,Canadian ice hockey player
Chris Ahrens,NULL,Olympic rower
Chris Hoy,United Kingdom,A British and Scottish track cyclist
Christie Ambrosi,United States,Softball player
Sami Jo Small,Canada,Ice hockey player
Sander van der Weide,Netherlands,Dutch field hockey player
Sarah Ulmer,New Zealand,New Zealand racing cyclist
Adam Pine,Australia,Australian swimmer
Wijan Ponlid,{Sukhothai Province|Si Satchanalai District},Boxer
Dan Boyle,Canada,Ice hockey player
Katalin Kovács,Hungary,Canoe racer
Kate Markgraf,United States,Soccer player
Kati Wilhelm,Schmalkalden,German cross-country skier and biathlete
Kerstin Kowalski,Babelsberg,Olympic rower
Kevin Garnett,{Greenville South Carolina|Mauldin South Carolina},Basketball forward
Ángel Matos,NULL,Taekwondo practitioner
Éric Bédard,Sainte-Thècle Quebec,Canadian short-track speed skater
Ioannis Melissanidis,Germany,Gymnast
Isao Yoneda,Germany,Japanese gymnast
Jérôme Fernandez,France,Handball player
Jérôme Jeannet,{Martinique|Fort-de-France},Fencer
Enrico Kühn,{Thuringia|Bad Langensalza},Bobsledder
Teslim Fatusi,Nigeria,Footballer
Tiffany Roberts,Petaluma California,American soccer player
Tim Brabants,Chertsey,Canoe racer
Todd Pearson,Australia,Australian swimmer
Luke Roberts,Australia,Racing cyclist
Maike Nollen,Berlin,Canoe racer
Gong Zhichao,NULL,Badminton player
Xiao Hailiang,NULL,chinese sport diver
Yang Xia,NULL,Chinese weightlifter
Yevgeni Podgorny,NULL,Gymnast
Yoon Hye-Young,NULL,South Korean archer
Yuliya Pakhalina,Penza,Diver
Zhang Jun,China,Chinese badminton player
Zoltán Szécsi,Hungary,Water polo player
Zsuzsanna Vörös,Székesfehérvár,Hungarian modern pentathlete
Patric Leitner,{Bavaria|Berchtesgaden},Luger
Paul Goodison,United Kingdom,Sailor
Derrick Brew,NULL,Athletics (sport) competitor
Didier Défago,{Morgins|Valais},Alpine skier
Didier Dinart,{Guadeloupe|Pointe-à-Pitre},Handball player
Domenico Fioravanti,{Piedmont|Novara},Swimmer
Rod White,United States,Archer
Roman Kostomarov,Moscow,Ice dancer
Rowley Douglas,United Kingdom,Rower
Roy Oswalt,NULL,American professional baseball player pitcher
Rozalia Galiyeva,NULL,Gymnast
Ryk Neethling,Bloemfontein,Swimmer
Michael Klim,Gdynia,Swimmer
Michael McCann,NULL,Field hockey player
Mihai Covaliu,Brașov,Fencer
Mikhail Ivanov,NULL,Russian cross-country skier
Minke Booij,NULL,Field hockey player
Mirza Džomba,{Rijeka|Socialist Federal Republic of Yugoslavia|Socialist Republic of Croatia},Croatian handball player
Trina Jackson,United States,American swimmer Olympic gold medalist
Troy Elder,NULL,Field hockey player
Unni Lehn,Norway,Association footballer
Shannon Boxx,United States,Soccer midfielder
Shannon Miller,Rolla Missouri,American gymnast
Simone Raineri,NULL,Italian sculler Olympic gold 2000 quad sculls
Sofia Bekatorou,NULL,Greek yacht racer
Soraya Jiménez,Mexico,Mexican weightlifter
Stephen Wooldridge,Australia,Road bicycle racer
Kristin Bekkevold,Hamar,Association footballer
Kristina Šmigun-Vähi,Estonia,Estonian cross-country skier
Laura Wilkinson,Houston,Diver
Lauren Etame Mayer,{Cameroon national football team|Kribi},Cameroonian footballer
Manu Ginóbili,{Bahía Blanca|Liga Nacional de Básquet|Buenos Aires Province},Argentine basketball player
Manuela Zanchi,NULL,Italian waterpolo player
Mario Stecher,NULL,Austrian Nordic combined skier
Markus Oscarsson,NULL,Canoe racer
Jamie Salé,{Alberta|Calgary},Figure skater
Janneke Schopman,NULL,Field hockey player
Jarome Iginla,Canada,Ice hockey player
Jason Read,NULL,Gold medal-winning member of the U.S. Men's Rowing Team
Jayna Hefford,Canada,Ice hockey player
Jean-Christophe Bette,NULL,Rower
Dwight Phillips,NULL,American long jumper
Eefke Mulder,NULL,Field hockey player
Elena Berezhnaya,Nevinnomyssk,Pair skater
Juan Ignacio Sánchez,Argentina,Argentine professional basketball player
Julien Pillet,France,Fencer
Anita Rapp,NULL,Association footballer
Anne-Caroline Chausson,{Dijon|France at the 2008 Summer Olympics},French racing cyclist
Anni Friesinger-Postma,{West Germany|Bad Reichenhall},German speed skater
Oksana Baiul,Soviet Union,Figure skater
Ragnhild Gulbrandsen,Norway women's national football team,Association footballer
Richard Faulds,NULL,Sport shooter
Taismary Agüero,Yaguajay Cuba,Volleyball player
Tammy Shewchuk-Dryden,Canada,Ice hockey player
Tereza Marinova,Bulgaria,Bulgarian long jumper and triple jumper
Félix Sánchez,United States,Track and field athlete
Danielle Henderson,Commack New York,Softball player
Dean Butler,NULL,Australian field hockey player
Gergely Kiss,NULL,Water polo player
Gian Simmen,NULL,Snowboarder
Misty May-Treanor,Los Angeles,American Beach volleyball player
Mitică Pricop,NULL,Canoe racer
Murad Umakhanov,Khasavyurt,Olympic wrestler
Naoya Tsukahara,Japan,Gymnast
Natascha Keller,NULL,German field hockey player
Ben Ainslie,Macclesfield,Olympian-medalist sailor and yacht racer
Bevan George,NULL,Field hockey player
Bode Miller,{United States Ski Team|Easton New Hampshire},Alpine skier
Brad Wilkerson,NULL,All-American college baseball player Major League Baseball player first baseman outfielder Olympic gold medalist
