"","dataset","Sport"
"606","DBPedia","Volleyball"
"607","DBPedia","Basketball"
"608","DBPedia","Ice Hockey"
"609","DBPedia","Handball"
"610","DBPedia","Basketball"
"611","DBPedia","Field hockey"
"612","DBPedia","Basketball"
"613","DBPedia","Field hockey"
"614","DBPedia","Basketball"
"615","DBPedia","Ice Hockey"
"616","DBPedia","Ice Hockey"
"617","DBPedia","Ice Hockey"
"618","DBPedia","Ice Hockey"
"619","DBPedia","Handball"
"620","DBPedia","Volleyball"
"621","DBPedia","Field hockey"
"622","DBPedia","Handball"
"623","DBPedia","Field hockey"
"624","DBPedia","Ice Hockey"
"625","DBPedia","Handball"
"626","DBPedia","Ice Hockey"
"627","DBPedia","Handball"
"628","DBPedia","Ice Hockey"
"629","DBPedia","Field hockey"
"630","DBPedia","Field hockey"
"631","DBPedia","Handball"
"632","DBPedia","Ice Hockey"
"633","DBPedia","Ice Hockey"
"634","DBPedia","Basketball"
"635","DBPedia","Volleyball"
"636","DBPedia","Volleyball"
"637","DBPedia","Ice Hockey"
"638","DBPedia","Field hockey"
"639","DBPedia","Handball"
"640","DBPedia","Field hockey"
"641","DBPedia","Basketball"
"642","DBPedia","Basketball"
"643","DBPedia","Handball"
"644","DBPedia","Ice Hockey"
"645","DBPedia","Volleyball"
"646","DBPedia","Basketball"
"647","DBPedia","Ice Hockey"
"648","DBPedia","Field hockey"
"649","DBPedia","Ice Hockey"
"650","DBPedia","Ice Hockey"
"651","DBPedia","Handball"
"652","DBPedia","Field hockey"
"653","DBPedia","Ice Hockey"
"654","DBPedia","Handball"
"655","DBPedia","Volleyball"
"656","DBPedia","Ice Hockey"
"657","DBPedia","Ice Hockey"
"658","DBPedia","Field hockey"
"659","DBPedia","Volleyball"
"660","DBPedia","Handball"
"661","DBPedia","Field hockey"
"662","DBPedia","Basketball"
"663","DBPedia","Basketball"
"664","DBPedia","Field hockey"
"665","DBPedia","Basketball"
"666","DBPedia","Basketball"
"667","DBPedia","Handball"
