"","dataset","Sport"
"284","DBPedia","Ice Hockey"
"285","DBPedia","Basketball"
"286","DBPedia","Basketball"
"287","DBPedia","Basketball"
"288","DBPedia","Field hockey"
"289","DBPedia","Basketball"
"290","DBPedia","Field hockey"
"291","DBPedia","Basketball"
"292","DBPedia","Ice Hockey"
"293","DBPedia","Volleyball"
"294","DBPedia","Field hockey"
"295","DBPedia","Field hockey"
"296","DBPedia","Basketball"
"297","DBPedia","Handball"
"298","DBPedia","Handball"
"299","DBPedia","Volleyball"
"300","DBPedia","Basketball"
"301","DBPedia","Basketball"
"302","DBPedia","Handball"
"303","DBPedia","Ice Hockey"
"304","DBPedia","Volleyball"
"305","DBPedia","Volleyball"
"306","DBPedia","Handball"
"307","DBPedia","Volleyball"
"308","DBPedia","Field hockey"
"309","DBPedia","Basketball"
"310","DBPedia","Handball"
"311","DBPedia","Field hockey"
"312","DBPedia","Ice Hockey"
"313","DBPedia","Field hockey"
"314","DBPedia","Ice Hockey"
"315","DBPedia","Handball"
"316","DBPedia","Handball"
"317","DBPedia","Field hockey"
"318","DBPedia","Basketball"
"319","DBPedia","Volleyball"
"320","DBPedia","Handball"
"321","DBPedia","Basketball"
"322","DBPedia","Volleyball"
"323","DBPedia","Handball"
"324","DBPedia","Ice Hockey"
"325","DBPedia","Ice Hockey"
"326","DBPedia","Volleyball"
"327","DBPedia","Ice Hockey"
"328","DBPedia","Field hockey"
"329","DBPedia","Ice Hockey"
"330","DBPedia","Ice Hockey"
"331","DBPedia","Volleyball"
"332","DBPedia","Basketball"
"333","DBPedia","Ice Hockey"
"334","DBPedia","Handball"
"335","DBPedia","Basketball"
"336","DBPedia","Basketball"
"337","DBPedia","Basketball"
"338","DBPedia","Field hockey"
"339","DBPedia","Volleyball"
"340","DBPedia","Ice Hockey"
"341","DBPedia","Basketball"
"342","DBPedia","Ice Hockey"
"343","DBPedia","Volleyball"
"344","DBPedia","Handball"
"345","DBPedia","Handball"
"346","DBPedia","Field hockey"
"347","DBPedia","Volleyball"
"348","DBPedia","Ice Hockey"
"349","DBPedia","Basketball"
"350","DBPedia","Ice Hockey"
"351","DBPedia","Ice Hockey"
"352","DBPedia","Field hockey"
"353","DBPedia","Ice Hockey"
"354","DBPedia","Field hockey"
"355","DBPedia","Ice Hockey"
"356","DBPedia","Ice Hockey"
"357","DBPedia","Basketball"
"358","DBPedia","Field hockey"
"359","DBPedia","Ice Hockey"
"360","DBPedia","Handball"
"361","DBPedia","Basketball"
"362","DBPedia","Ice Hockey"
"363","DBPedia","Handball"
"364","DBPedia","Handball"
"365","DBPedia","Ice Hockey"
"366","DBPedia","Field hockey"
"367","DBPedia","Handball"
"368","DBPedia","Ice Hockey"
"369","DBPedia","Ice Hockey"
"370","DBPedia","Volleyball"
"371","DBPedia","Handball"
"372","DBPedia","Handball"
"373","DBPedia","Handball"
"374","DBPedia","Ice Hockey"
"375","DBPedia","Ice Hockey"
"376","DBPedia","Volleyball"
"377","DBPedia","Handball"
"378","DBPedia","Volleyball"
"379","DBPedia","Field hockey"
"380","DBPedia","Ice Hockey"
"381","DBPedia","Volleyball"
